type,time,reclat,reclon,altitude (ft),eos,name,desc
T,10/13/2020 21:22,42.95025985,-78.82319002,678.9,1,,
T,10/15/2020 13:17,42.8994858,-78.87313569,650.4,1,,
T,10/16/2020 13:09,42.95356731,-78.81944267,691.9,1,,
T,10/12/2020 22:09,42.89938883,-78.87326368,664.3,1,,
T,10/13/2020 21:22,42.95026568,-78.82316111,678.3,1,,
T,10/15/2020 13:17,42.8994845,-78.87313292,652.2,1,,
T,10/16/2020 13:09,42.95357891,-78.81941806,691.9,1,,
T,10/12/2020 22:09,42.89939197,-78.87329008,660.6,1,,
T,10/13/2020 21:22,42.95026572,-78.82315599,678.3,1,,
T,10/15/2020 13:17,42.8995032,-78.87312429,652.5,1,,
T,10/16/2020 13:09,42.95356114,-78.81940303,691.9,1,,
T,10/12/2020 22:09,42.8993729,-78.87328304,662.8,1,,
T,10/13/2020 21:22,42.95028466,-78.82318491,679.1,1,,
T,10/15/2020 13:17,42.89952511,-78.8731113,651.9,1,,
T,10/16/2020 13:09,42.95356747,-78.81943411,691.9,1,,
T,10/12/2020 22:09,42.89935559,-78.8732703,667.9,1,,
T,10/13/2020 21:22,42.95030126,-78.82322858,679.1,1,,
T,10/15/2020 13:18,42.89952939,-78.87310929,652,1,,
T,10/16/2020 13:09,42.95355092,-78.81941358,691.9,1,,
T,10/12/2020 22:09,42.89937131,-78.87323887,666.5,1,,
T,10/13/2020 21:22,42.95029321,-78.8232663,678.7,1,,
T,10/15/2020 13:18,42.89949678,-78.87308984,655.3,1,,
T,10/16/2020 13:09,42.95356255,-78.81938505,691.9,1,,
T,10/12/2020 22:09,42.89938878,-78.87322999,665.7,1,,
T,10/13/2020 21:22,42.95029321,-78.8232663,678.9,1,,
T,10/15/2020 13:18,42.89947654,-78.87308179,655.8,1,,
T,10/16/2020 13:09,42.95359873,-78.81948269,691.9,1,,
T,10/12/2020 22:10,42.89940647,-78.8732377,665.4,1,,
T,10/13/2020 21:22,42.95028118,-78.82329245,679.1,1,,
T,10/15/2020 13:18,42.89949284,-78.87308548,655,1,,
T,10/16/2020 13:09,42.95359456,-78.81943719,691.9,1,,
T,10/12/2020 22:10,42.89944352,-78.87323502,665.8,1,,
T,10/13/2020 21:22,42.95030063,-78.82327569,679,1,,
T,10/15/2020 13:18,42.89946347,-78.8731284,654.8,1,,
T,10/16/2020 13:10,42.95357567,-78.81944348,691.9,1,,
T,10/12/2020 22:10,42.89947101,-78.87322102,666.3,1,,
T,10/13/2020 21:22,42.95031651,-78.82325775,678.8,1,,
T,10/15/2020 13:20,42.89942902,-78.87317944,660.4,1,,
T,10/16/2020 13:10,42.953575,-78.81941036,691.9,1,,
T,10/12/2020 22:10,42.89949092,-78.87321389,665.4,1,,
T,10/13/2020 21:22,42.95032955,-78.82326253,678.7,1,,
T,10/15/2020 13:22,42.89940781,-78.87319059,655.8,1,,
T,10/16/2020 13:10,42.95357659,-78.81944391,691.9,1,,
T,10/12/2020 22:10,42.89951518,-78.87321632,664.2,1,,
T,10/13/2020 21:22,42.95033994,-78.82326714,678.4,1,,
T,10/15/2020 13:22,42.8993843,-78.87319118,656.6,1,,
T,10/16/2020 13:10,42.95357385,-78.81947495,691.9,1,,
T,10/12/2020 22:10,42.89952947,-78.87323569,663.1,1,,
T,10/13/2020 21:22,42.95036211,-78.82327879,678.1,1,,
T,10/15/2020 13:22,42.89936938,-78.87317366,655.7,1,,
T,10/16/2020 13:10,42.95355134,-78.8194434,691.9,1,,
T,10/12/2020 22:10,42.89952998,-78.87326025,658.3,1,,
T,10/13/2020 21:22,42.95038319,-78.82327284,678.1,1,,
T,10/15/2020 13:22,42.89935727,-78.87317048,656.6,1,,
T,10/16/2020 13:10,42.95355413,-78.81947033,691.9,1,,
T,10/12/2020 22:10,42.89951011,-78.87325966,652.8,1,,
T,10/13/2020 21:22,42.95036224,-78.82326739,678.2,1,,
T,10/15/2020 13:22,42.89933141,-78.87317676,654.7,1,,
T,10/16/2020 13:11,42.95357099,-78.81948125,691.9,1,,
T,10/12/2020 22:10,42.89952947,-78.87325522,653.9,1,,
T,10/13/2020 21:22,42.95034686,-78.82329228,677.9,1,,
T,10/15/2020 13:22,42.89931674,-78.87319185,654.5,1,,
T,10/16/2020 13:11,42.9535743,-78.81943971,691.9,1,,
T,10/12/2020 22:10,42.89951376,-78.87325019,654.8,1,,
T,10/13/2020 21:22,42.95032867,-78.82330771,678.3,1,,
T,10/15/2020 13:22,42.89933723,-78.87319361,652.6,1,,
T,10/16/2020 13:11,42.95355839,-78.81947338,691.9,1,,
T,10/12/2020 22:10,42.89946883,-78.87324055,658.9,1,,
T,10/13/2020 21:23,42.95032678,-78.82334274,678,1,,
T,10/15/2020 13:22,42.89934604,-78.87318992,652.4,1,,
T,10/16/2020 13:11,42.95355184,-78.81944552,691.9,1,,
T,10/12/2020 22:10,42.89944892,-78.87323569,659.3,1,,
T,10/13/2020 21:23,42.95034686,-78.82334408,678.4,1,,
T,10/15/2020 13:22,42.89935102,-78.87316151,652.7,1,,
T,10/16/2020 13:11,42.95355485,-78.81946998,691.9,1,,
T,10/12/2020 22:11,42.89945387,-78.87320727,657,1,,
T,10/13/2020 21:23,42.95033462,-78.82332464,678.1,1,,
T,10/15/2020 13:24,42.89938828,-78.87317626,654.3,1,,
T,10/16/2020 13:12,42.95356607,-78.81944755,691.9,1,,
T,10/12/2020 22:11,42.89944947,-78.87318078,652.8,1,,
T,10/13/2020 21:23,42.95032775,-78.82330142,677.7,1,,
T,10/15/2020 13:24,42.89940395,-78.87319814,658.9,1,,
T,10/16/2020 13:12,42.95353112,-78.81942805,691.9,1,,
T,10/12/2020 22:11,42.8994226,-78.87322035,661.3,1,,
T,10/13/2020 21:23,42.95032133,-78.82329069,677.7,1,,
T,10/15/2020 13:24,42.89942847,-78.87320375,656.2,1,,
T,10/16/2020 13:12,42.95355474,-78.81943684,691.9,1,,
T,10/12/2020 22:18,42.89941167,-78.8732491,661.7,1,,
T,10/13/2020 21:24,42.95027377,-78.82327141,676.2,1,,
T,10/15/2020 14:00,42.89938929,-78.8731983,664.1,1,,
T,10/16/2020 13:13,42.95354744,-78.81946076,691.9,1,,
T,10/12/2020 22:18,42.89945106,-78.87323334,662.6,1,,
T,10/13/2020 21:24,42.95026589,-78.82324937,678.8,1,,
T,10/15/2020 14:11,42.89941167,-78.87318313,669.5,1,,
T,10/16/2020 13:13,42.9535664,-78.81941464,691.9,1,,
T,10/12/2020 22:19,42.89950584,-78.87318908,661.6,1,,
T,10/13/2020 21:25,42.95027117,-78.82327435,678.2,1,,
T,10/15/2020 14:11,42.8994242,-78.87314726,662.3,1,,
T,10/16/2020 13:13,42.95355753,-78.81947407,691.9,1,,
T,10/12/2020 22:19,42.89952369,-78.87317525,660.8,1,,
T,10/13/2020 21:25,42.95029602,-78.82327242,674.8,1,,
T,10/15/2020 14:12,42.89940454,-78.87312706,653.7,1,,
T,10/16/2020 13:14,42.95354495,-78.81944367,691.9,1,,
T,10/12/2020 22:19,42.8995446,-78.87317693,661.3,1,,
T,10/13/2020 21:25,42.95031027,-78.82324945,674.9,1,,
T,10/15/2020 14:12,42.89940337,-78.87311113,653.5,1,,
T,10/16/2020 13:14,42.95356901,-78.81945168,691.9,1,,
T,10/12/2020 22:19,42.89956409,-78.87317835,662.8,1,,
T,10/13/2020 21:25,42.95030868,-78.82321794,676.3,1,,
T,10/15/2020 14:15,42.89939645,-78.87316159,666.8,1,,
T,10/16/2020 13:14,42.95356174,-78.81942683,691.9,1,,
T,10/12/2020 22:19,42.89956531,-78.87315136,663.2,1,,
T,10/13/2020 21:25,42.95030931,-78.82319162,678,1,,
T,10/15/2020 14:38,42.89938111,-78.873175,661.4,1,,
T,10/16/2020 13:14,42.95356347,-78.81945226,691.9,1,,
T,10/12/2020 22:19,42.89955391,-78.87311909,669.8,1,,
T,10/13/2020 21:25,42.95030524,-78.82318248,678.3,1,,
T,10/15/2020 14:38,42.89939197,-78.87319847,670.7,1,,
T,10/16/2020 13:14,42.95354407,-78.8194446,691.9,1,,
T,10/12/2020 22:19,42.89954699,-78.87310468,671.5,1,,
T,10/13/2020 21:25,42.95033173,-78.82319178,681.1,1,,
T,10/15/2020 14:38,42.89942403,-78.87319612,661.4,1,,
T,10/16/2020 13:14,42.95355621,-78.8194761,691.9,1,,
T,10/12/2020 22:19,42.8995296,-78.87312211,667.8,1,,
T,10/13/2020 21:25,42.95035293,-78.82319036,681.8,1,,
T,10/15/2020 14:38,42.89942168,-78.87322404,658.1,1,,
T,10/16/2020 13:15,42.95358237,-78.81943368,691.9,1,,
T,10/12/2020 22:19,42.89955697,-78.87311884,669.1,1,,
T,10/13/2020 21:25,42.95036777,-78.8232,681.6,1,,
T,10/15/2020 14:38,42.89941087,-78.87324432,657.6,1,,
T,10/16/2020 13:15,42.95356848,-78.81945406,691.9,1,,
T,10/12/2020 22:19,42.89959888,-78.87313502,668,1,,
T,10/13/2020 21:25,42.95038449,-78.8231907,683,1,,
